problem,avg_time,avg_iter,GD,IGD,Hypervolume,Spacing,Spread,Epsilon,Coverage,R2,Average_Hausdroff,Error_Ratio
"JOS1, g = zero",0.5231,9.35,0.0006,0.0,81.9586,0.1522,1.0112,0.0,1.0,-2.2566,0.0006,0.29
"DGO1, g = zero",0.4898,5.67,0.8146,0.0,0.0428,0.0086,1.0104,0.0,1.0,-0.0523,0.8146,0.77
"JOS1, g = L1",17.1033,8.46,1.953,0.0,80.5351,1.589,1.063,0.0,1.0,-2.1436,1.953,0.47
"AP1, g = zero",1.966,48.9,0.6937,0.0,65.1274,0.7343,1.0057,0.0,1.0,-0.1489,0.6937,0.01
"AP1, g = L1",10.4473,8.48,0.7815,0.0,43.6587,0.3891,0.97,0.0,1.0,-0.1863,0.7815,0.18
"AP2, g = zero",0.2224,5.28,0.0002,0.0,0.8155,0.0193,1.0207,0.0,1.0,-0.2355,0.0002,0.63
"AP2, g = L1",2.477,1.83,0.2238,0.0,1.1603,0.0249,0.993,0.0,1.0,-0.2784,0.2238,0.61
"AP4, g = zero",2.5902,56.33,0.2846,0.0,195.018,0.3937,0.9691,0.0,1.0,-0.2051,0.2846,0.01
"DGO1, g = L1",11.8546,7.9,1.1231,0.0,0.0258,0.0677,1.0192,0.0,1.0,-0.0372,1.1231,0.88
"DGO2, g = zero",0.6617,7.74,0.0,0.0,0.0,0.0,1.0134,0.0,1.0,-0.0,0.0,0.97
"AP4, g = L1",22.3015,16.42,5.9544,0.0,240.0244,2.2202,0.9957,0.0,1.0,-0.2637,5.9544,0.12
"DGO2, g = L1",8.0559,5.62,1.7998,0.0,0.0311,0.3315,1.0903,0.0,1.0,-0.041,1.7998,0.75
"FA1, g = zero",0.9563,27.83,,,0.1791,,,0.0,1.0,,,0.93
"FA1, g = L1",1.9186,1.48,,,0.76,,,0.0,1.0,,,0.9
"FAR1, g = zero",0.799,24.63,0.1624,0.0,3.6501,0.1431,1.0273,0.0,1.0,-0.4198,0.1624,0.64
"FAR1, g = L1",3.3232,2.55,0.3101,0.0,3.1866,0.0989,0.9812,0.0,1.0,-0.4246,0.3101,0.81
"LOV1, g = zero",1.2077,9.82,24.9636,0.0,0.0,0.7166,0.9661,0.0,1.0,-0.0,24.9636,0.98
"LOV1, g = L1",5.3824,2.85,28.1239,0.0,0.0,1.3053,0.9306,0.0,1.0,-0.0,28.1239,0.98
"MOP2, g = zero",0.4179,13.89,0.1344,0.0,0.2911,0.0155,1.001,0.0,1.0,-0.1147,0.1344,0.13
"FDS, g = zero",1.3488,17.55,1.6185,0.0,15.3221,1.6039,1.0423,0.0,1.0,-0.1218,1.6185,0.09
"MOP2, g = L1",9.098,5.95,0.3075,0.0,0.2528,0.0312,0.9961,0.0,1.0,-0.1277,0.3075,0.28
"SD, g = zero",2.069,10.57,0.1883,0.0,10.9526,0.1396,0.9747,0.0,1.0,-0.7662,0.1883,0.49
"FDS, g = L1",13.4503,7.52,0.1078,0.0,14.0637,0.106,0.9722,0.0,1.0,-0.1303,0.1078,0.19
"FF1, g = zero",0.0194,0.27,0.1228,0.0,0.0319,0.0216,1.0327,0.0,1.0,-0.0366,0.1228,0.86
"FF1, g = L1",2.0852,0.79,0.9024,0.0,0.1009,0.0455,0.9728,0.0,1.0,-0.0621,0.9024,0.91
"IKK1, g = zero",0.396,4.2,0.9144,0.0,131.2489,0.2451,0.9726,0.0,1.0,-0.608,0.9144,0.5
"IKK1, g = L1",6.7376,2.55,2.6321,0.0,53.3252,0.2224,0.9449,0.0,1.0,-0.443,2.6321,0.7
"BK1, g = zero",0.4936,7.97,0.0009,0.0,119.4836,0.2672,1.0091,0.0,1.0,-2.211,0.0009,0.19
"SD, g = L1",21.3207,9.53,0.2416,0.0,11.9976,0.1061,0.948,0.0,1.0,-0.7975,0.2416,0.68
"TOI4, g = zero",0.8945,8.65,2.8393,0.0,0.4352,0.3954,1.002,0.0,1.0,-0.0265,2.8393,0.88
"BK1, g = L1",9.0655,5.35,0.7336,0.0,129.8173,0.2125,0.9964,0.0,1.0,-2.4353,0.7336,0.45
"ZDT2, g = zero",1.6432,9.45,1.4423,0.0,2.3936,0.1094,0.9908,0.0,1.0,-0.1852,1.4423,0.91
"ZDT2, g = L1",9.3287,3.06,3.844,0.0,0.1539,0.1472,0.9783,0.0,1.0,-0.0859,3.844,0.97
"POLONI, g = zero",1.0597,12.09,3.0765,0.0,356.8901,0.3848,1.01,0.0,1.0,-4.7981,3.0765,0.73
"TOI4, g = L1",21.1541,10.36,3.0364,0.0,0.3453,0.4775,0.9944,0.0,1.0,-0.1081,3.0364,0.93
"TRIDIA, g = zero",1.1722,8.18,26.2291,0.0,10044.6577,5.2197,0.9759,0.0,1.0,-1.563,26.2291,0.75
"POLONI, g = L1",19.0164,9.15,8.1977,0.0,369.2464,1.9617,1.0103,0.0,1.0,-4.5341,8.1977,0.79
"TRIDIA, g = L1",32.0757,20.36,33.7989,0.0,7314.4388,3.9374,0.9491,0.0,1.0,-1.6915,33.7989,0.84
