problem,avg_time,avg_iter,GD,IGD,Hypervolume,Spacing,Spread,Epsilon,Coverage,R2,Average_Hausdroff,Error_Ratio
"JOS1, g = zero",0.5257,9.41,0.0004,0.0,81.8042,0.1898,1.0182,0.0,1.0,-2.2779,0.0004,0.28
"FDS, g = zero",1.2002,17.09,0.0001,0.0,13.589,0.1049,0.9748,0.0,1.0,-0.1376,0.0001,0.02
"FDS, g = L1",17.1723,8.52,0.0338,0.0,12.2527,0.0958,0.9717,0.0,1.0,-0.1304,0.0338,0.14
"FF1, g = zero",0.0117,0.27,0.1516,0.0,0.0304,0.0258,1.0381,0.0,1.0,-0.0337,0.1516,0.92
"JOS1, g = L1",22.9042,9.19,3.1667,0.0,80.7602,2.5687,1.0889,0.0,1.0,-2.2907,3.1667,0.31
"FF1, g = L1",2.1719,1.15,0.7871,0.0,0.11,0.0511,0.9722,0.0,1.0,-0.0776,0.7871,0.93
"AP1, g = zero",2.6092,47.61,0.0,0.0,53.7683,0.1476,0.9793,0.0,1.0,-0.1366,0.0,0.0
"IKK1, g = zero",0.1558,3.19,3.4564,0.0,49.576,0.2281,0.9446,0.0,1.0,-0.4385,3.4564,0.47
"IKK1, g = L1",6.7453,2.77,2.7382,0.0,60.67,0.3194,0.9385,0.0,1.0,-0.4847,2.7382,0.66
"BK1, g = zero",0.6966,8.23,0.0009,0.0,84.1221,0.1766,1.0042,0.0,1.0,-1.7822,0.0009,0.28
"BK1, g = L1",12.4119,5.51,1.7827,0.0,144.8605,0.5981,1.0096,0.0,1.0,-2.3678,1.7827,0.48
"ZDT2, g = zero",0.8929,9.57,2.0768,0.0,1.4267,0.1332,0.9961,0.0,1.0,-0.2496,2.0768,0.96
"AP1, g = L1",22.8774,11.68,0.3559,0.0,53.4531,0.1274,0.9785,0.0,1.0,-0.1897,0.3559,0.25
"AP2, g = zero",0.3931,5.59,0.0002,0.0,0.8095,0.0147,1.0167,0.0,1.0,-0.2131,0.0002,0.69
"ZDT2, g = L1",8.3162,3.36,3.6886,0.0,0.0026,0.1304,0.9687,0.0,1.0,-0.0081,3.6886,0.97
"POLONI, g = zero",0.9391,13.22,2.7531,0.0,407.2657,0.586,1.0119,0.0,1.0,-4.5432,2.7531,0.72
"POLONI, g = L1",11.1568,7.68,5.0254,0.0,360.706,1.7951,1.0246,0.0,1.0,-4.5499,5.0254,0.74
"AP2, g = L1",9.6261,6.89,0.4461,0.0,1.0401,0.3286,1.0781,0.0,1.0,-0.2608,0.4461,0.61
"AP4, g = zero",2.5589,61.49,8.0637,0.0,262.0353,5.7268,1.0594,0.0,1.0,-0.2103,8.0637,0.04
"DGO1, g = zero",0.5317,5.31,0.9558,0.0,0.0445,0.0061,1.0059,0.0,1.0,-0.0454,0.9558,0.76
"DGO1, g = L1",5.8862,2.73,1.0882,0.0,0.0832,0.0448,1.015,0.0,1.0,-0.0727,1.0882,0.8
"DGO2, g = zero",0.5313,7.83,0.0,0.0,0.0,0.0,1.0246,0.0,1.0,-0.0,0.0,0.97
"DGO2, g = L1",6.5525,3.12,0.8428,0.0,0.04,0.0837,1.0225,0.0,1.0,-0.0273,0.8428,0.68
"FA1, g = zero",1.1249,26.16,,,0.0032,,,0.0,1.0,,,0.95
"AP4, g = L1",27.9506,18.25,0.2401,0.0,178.3906,0.2974,0.949,0.0,1.0,-0.2298,0.2401,0.15
"FA1, g = L1",4.5856,3.15,,,0.1963,,,0.0,1.0,,,0.88
"MOP2, g = zero",0.587,14.24,0.1229,0.0,0.2893,0.0108,0.9846,0.0,1.0,-0.1172,0.1229,0.11
"FAR1, g = zero",0.7835,19.7,0.1922,0.0,2.6376,0.1467,1.0104,0.0,1.0,-0.4029,0.1922,0.72
"MOP2, g = L1",9.4354,6.81,0.2682,0.0,0.2688,0.0174,0.9826,0.0,1.0,-0.1232,0.2682,0.3
"SD, g = zero",1.0522,10.56,0.115,0.0,7.0579,0.0621,0.9637,0.0,1.0,-0.5542,0.115,0.53
"FAR1, g = L1",6.5689,3.17,0.2019,0.0,1.6047,0.1308,1.0062,0.0,1.0,-0.3207,0.2019,0.81
"LOV1, g = zero",2.4299,10.41,28.4183,0.0,0.0,1.0091,0.9835,0.0,1.0,-0.0,28.4183,0.98
"LOV1, g = L1",8.976,2.41,32.578,0.0,0.0001,1.2164,0.9331,0.0,1.0,-0.0,32.578,0.98
"SD, g = L1",21.3544,9.92,0.2109,0.0,7.1424,0.0771,0.9353,0.0,1.0,-0.6231,0.2109,0.66
"TOI4, g = zero",0.4508,8.7,3.7778,0.0,0.0225,0.3245,1.0046,0.0,1.0,-0.0041,3.7778,0.96
"TOI4, g = L1",13.3373,12.16,2.8613,0.0,0.215,0.5229,1.0624,0.0,1.0,-0.0519,2.8613,0.91
"TRIDIA, g = zero",0.5487,7.88,27.699,0.0,68328.3358,8.3155,0.9532,0.0,1.0,-4.6872,27.699,0.75
"TRIDIA, g = L1",25.4421,24.38,40.3412,0.0,675.8226,5.7616,0.964,0.0,1.0,-0.9451,40.3412,0.86
